       Month           VIRGO(new)      VIRGO(old)      DIARAD(org)     PMO6V(org)
       176.00000       1360.8041       1365.7465       1224.2988       1365.3905
       177.00000       1360.8462       1365.7887       1318.8842       1318.1856
       178.00000       1360.7878       1365.7301       1366.0914       1365.3620
       179.00000       1360.7831       1365.7255       1366.0778       1365.3586
       180.00000       1360.7791       1365.7214       1366.0863       1365.3508
       181.00000       1125.4101       1129.5556       1082.5985       1082.0009
       182.00000       1360.8788       1365.8215       1366.1745       1365.4564
       183.00000       1360.7023       1365.6443       1365.9876       1365.2899
       184.00000       1361.0572       1366.0005       1366.3535       1365.6446
       185.00000       1361.0691       1366.0124       1319.0806       1365.6637
       186.00000       1361.0798       1366.0232       1366.3691       1365.6739
       187.00000       1361.0636       1366.0070       893.66517       1365.6646
       188.00000       1360.8240       1365.7665       987.97392       1365.4007
       189.00000       1361.0960       1366.0395       1366.4033       1365.6790
       190.00000       1360.9856       1365.9286       610.02333       1365.5822
       191.00000       1361.0765       1366.0198       1177.2784       1365.6685
       192.00000       1361.2532       1366.1972       1366.5442       1365.8476
       193.00000       1361.3825       1366.3270       1224.8265       1365.9913
       194.00000       1361.2521       1366.1961       1366.5399       1365.8430
       195.00000       1361.2797       1366.2238       1366.5684       1365.8645
       196.00000       1361.1007       1366.0441       1319.1087       1365.6913
       197.00000       1361.1290       1366.0726       1319.1198       1318.4780
       198.00000       984.35306       988.02098       988.27477       987.76394
       199.00000       1361.0639       1366.0072       1366.3557       1365.6484
       200.00000       1360.8945       1365.8373       1366.2036       1365.4631
       201.00000       1361.2954       1366.2396       1366.6120       1365.8646
       202.00000       1361.3759       1366.3203       1366.6629       1365.9653
       203.00000       1361.1646       1366.1083       1366.4463       1365.7594
       204.00000       1361.1693       1366.1130       1366.4323       1365.7816
       205.00000       1361.1894       1366.1332       1366.4351       1365.8085
       206.00000       1361.0943       1366.0378       1366.3952       1365.6793
       207.00000       1361.2100       1366.1538       1366.5039       1365.7915
       208.00000       1361.2501       1366.1941       1366.5558       1365.8234
       209.00000       1361.1362       1366.0798       1366.4339       1365.7234
       210.00000       1361.2927       1366.2369       1366.6176       1365.8554
       211.00000       1361.4158       1366.3604       1319.4381       1365.9891
       212.00000       1361.3494       1366.2938       1319.3589       1365.9374
       213.00000       1361.3898       1366.3343       1366.6935       1365.9714
       214.00000       1361.3755       1366.3200       1366.6613       1365.9614
       215.00000       1361.1798       1366.1235       1319.1858       1365.7659
       216.00000       1360.9306       1365.8735       1366.2232       1365.5153
       217.00000       1361.2821       1366.2262       1319.3162       1365.8544
       218.00000       1361.0321       1365.9753       1319.0603       1365.6070
       219.00000       1360.8082       1365.7506       1366.0772       1365.4147
       220.00000       1361.3959       1366.3405       1366.6556       1366.0104
       221.00000       1361.3914       1366.3360       1366.6837       1365.9860
       222.00000       1361.2551       1366.1991       1366.5660       1365.8313
       223.00000       1361.1781       1366.1219       1366.4876       1365.7471
       224.00000       1361.0554       1365.9987       1366.3686       987.62945
       225.00000       1361.3477       1366.2921       1366.6517       1365.9282
       226.00000       1361.3532       1366.2976       1366.6604       1365.9265
       227.00000       1361.3440       1366.2884       1366.6471       1365.9233
       228.00000       1360.9191       1365.8620       1366.1999       1365.5083
       229.00000       1361.1445       1366.0881       1177.3434       1365.7209
       230.00000       1361.4266       1366.3713       1366.7566       1365.9805
       231.00000       1361.5464       1366.4915       1319.5531       1366.1267
       232.00000       1361.5290       1366.4741       1319.5328       1366.1201
       233.00000       1361.4469       1366.3916       1366.7621       1366.0179
       234.00000       1314.2565       1319.0415       1319.3913       1318.6890
       235.00000       1125.9007       1130.0479       1130.3414       1129.7502
       236.00000       1361.0733       1366.0167       1366.3393       1365.6886
       237.00000       1361.1559       1366.0996       1366.4310       1365.7621
       238.00000       1360.9615       1365.9044       1271.6966       1365.5724
       239.00000       1360.8491       1365.7917       1366.1185       1365.4630
       240.00000       1361.0537       1365.9970       1366.3142       1365.6784
       241.00000       1361.2777       1366.2218       1224.7035       1365.9051
       242.00000       1360.9962       1365.9392       1366.2649       1365.6080
       243.00000       1361.0706       1366.0140       1366.3551       1365.6723
       244.00000       1361.1384       1366.0820       1366.4170       1365.7365
